event_id,ocel:timestamp,ocel:activity,weight,price,ocel:type:items,ocel:type:products,ocel:type:customers,ocel:type:orders,ocel:type:packages
4009,2019-07-25 17:50:41,place order,2.733,3693.99,"['881603', '881602', '881604']","['Echo Show 5', 'iPad Pro', 'MacBook Pro']",['Luis Santos'],['990395'],
4010,2019-07-25 17:58:02,failed delivery,8.416,7936.91,"['881388', '881418', '881382', '881416', '881486', '881131', '881449', '881365', '881383', '881414', '881385', '881389', '881381', '881366', '881488', '881417', '881448', '881387']","['iPhone X', 'iPad', 'iPhone 11 Pro', 'iPhone 8', 'Echo Plus', 'Fire Stick', 'Kindle', 'Fire Stick 4K', 'Echo Studio', 'iPad Pro', 'Echo']",['Mohammadreza Fani Sani'],"['990360', '990344', '990338', '990369', '990281', '990352']",['660213']
4011,2019-07-25 18:14:04,pick item,1.48,199.99,['881591'],['Echo Studio'],['Seran Uysal'],['990392'],
4012,2019-07-25 18:20:49,pick item,0.28,89.99,['881514'],['Fire Stick 4K'],['Gyunam Park'],['990374'],
4013,2019-07-25 18:34:32,pick item,0.44,476.0,['881469'],['iPad Air'],['Junxiong Gao'],['990366'],
4014,2019-07-25 18:34:32,create package,4.755,4041.96,"['881535', '881075', '881514', '881516', '881511', '881536', '881446', '881515', '881445']","['iPad Air', 'Echo Plus', 'Fire Stick 4K', 'iPhone 11', 'Echo Dot', 'iPad mini', 'iPad Pro']",['Gyunam Park'],"['990374', '990359', '990379', '990267']",['660227']
4015,2019-07-25 18:35:57,payment reminder,6.394,6802.97,"['881083', '881079', '881081', '881082', '881080', '881085', '881084']","['iPhone 11', 'iPhone 11 Pro', 'Echo Studio', 'Echo', 'Echo Plus', 'MacBook Air']",['Kefang Ding'],['990268'],
4016,2019-07-25 18:53:33,pay order,0.655,783.99,"['881156', '881155']","['iPhone X', 'Kindle']",['Gyunam Park'],['990286'],
4017,2019-07-25 18:56:58,payment reminder,2.178,1832.97,"['881134', '881135', '881131', '881133', '881132']","['iPhone 11', 'iPhone X', 'Echo Plus', 'Fire Stick 4K']",['Mohammadreza Fani Sani'],['990281'],
4018,2019-07-25 19:28:27,pay order,2.978,4259.99,"['881168', '881167', '881166', '881165']","['iPhone 11 Pro', 'iPad Air', 'MacBook Pro', 'Echo Show 8']",['Seran Uysal'],['990289'],
4019,2019-07-25 19:29:00,pay order,0.42,1063.0,"['881330', '881329']",['iPhone 8'],['Junxiong Gao'],['990330'],
4020,2019-07-25 20:11:38,place order,1.123,1015.99,"['881606', '881607', '881605']","['iPad Air', 'Fire Stick', 'iPad']",['Tobias Brockhoff'],['990396'],
4021,2019-07-25 20:29:18,package delivered,8.416,7936.91,"['881388', '881418', '881382', '881416', '881486', '881131', '881449', '881365', '881383', '881414', '881385', '881389', '881381', '881366', '881488', '881417', '881448', '881387']","['iPhone X', 'iPad', 'iPhone 11 Pro', 'iPhone 8', 'Echo Plus', 'Fire Stick', 'Kindle', 'Fire Stick 4K', 'Echo Studio', 'iPad Pro', 'Echo']",['Mohammadreza Fani Sani'],"['990360', '990344', '990338', '990369', '990281', '990352']",['660213']
4022,2019-07-25 20:39:28,confirm order,2.733,3693.99,"['881603', '881602', '881604']","['Echo Show 5', 'iPad Pro', 'MacBook Pro']",['Luis Santos'],['990395'],
4023,2019-07-25 21:18:12,pick item,0.88,89.99,['881604'],['Echo Show 5'],['Luis Santos'],['990395'],
4024,2019-07-25 21:37:49,package delivered,5.742999999999999,6004.95,"['881539', '881413', '881422', '881265', '881411', '881453', '881529', '881424']","['iPad', 'MacBook Pro', 'Fire Stick', 'Fire Stick 4K', 'Echo Studio']",['Wil van der Aalst'],"['990353', '990314', '990380', '990378', '990351', '990361']",['660220']
4025,2019-07-25 22:03:46,pick item,0.166,799.0,['881471'],['iPhone 11'],['Junxiong Gao'],['990366'],
4026,2019-07-25 22:04:09,confirm order,5.544,2032.95,"['881574', '881576', '881575', '881572', '881571', '881573', '881570']","['iPhone X', 'Echo Dot', 'Echo Studio', 'Echo Plus', 'Echo']",['Majid Rafiei'],['990388'],
4027,2019-07-25 23:02:51,place order,3.873,3749.97,"['881608', '881609', '881615', '881610', '881614', '881612', '881611', '881613']","['iPhone X', 'Kindle Paperwhite', 'iPad mini', 'iPad Pro', 'Fire Stick', 'Echo Show 8', 'Echo']",['Christine Dobbert'],['990397'],
4028,2019-07-26 08:14:21,confirm order,2.06,264.97,"['881598', '881600', '881599']","['Echo Show 5', 'Fire Stick', 'Echo Show 8']",['Gyunam Park'],['990393'],
4029,2019-07-26 08:31:45,pay order,2.428,4568.99,"['881320', '881321', '881319', '881322', '881318']","['iPhone 11', 'iPhone X', 'iPad Air', 'MacBook Pro', 'Fire Stick 4K']",['Wil van der Aalst'],['990328'],
4030,2019-07-26 08:51:46,pick item,0.88,89.99,['881523'],['Echo Show 5'],['Kefang Ding'],['990375'],
4031,2019-07-26 08:55:00,place order,2.431,2175.98,"['881617', '881621', '881616', '881619', '881618', '881622', '881620']","['Kindle Paperwhite', 'iPhone 8', 'iPad mini', 'Fire Stick', 'Kindle', 'iPad']",['Claudia Graf'],['990398'],
4032,2019-07-26 09:01:13,pick item,0.172,699.0,['881473'],['iPhone X'],['Lisa Mannel'],['990367'],
4033,2019-07-26 09:04:39,failed delivery,7.854,4807.91,"['881487', '881542', '881480', '881450', '881543', '881327', '881384', '881483', '881415', '881110', '881548', '881489']","['iPhone X', 'MacBook Pro', 'Echo Plus', 'Fire Stick', 'Kindle', 'Echo Show 8', 'iPhone 11', 'Echo Dot', 'Echo']",['Mohammadreza Fani Sani'],"['990360', '990273', '990344', '990369', '990381', '990329', '990352', '990368']",['660226']
4034,2019-07-26 09:22:25,pay order,1.853,3000.0,"['881453', '881452']","['iPad', 'MacBook Pro']",['Wil van der Aalst'],['990361'],
4035,2019-07-26 09:30:59,pick item,0.44,476.0,['881481'],['iPad Air'],['Mohammadreza Fani Sani'],['990368'],
4036,2019-07-26 09:51:58,confirm order,3.873,3749.97,"['881608', '881609', '881615', '881610', '881614', '881612', '881611', '881613']","['iPhone X', 'Kindle Paperwhite', 'iPad mini', 'iPad Pro', 'Fire Stick', 'Echo Show 8', 'Echo']",['Christine Dobbert'],['990397'],
4037,2019-07-26 09:58:45,pick item,1.37,2500.0,['881452'],['MacBook Pro'],['Wil van der Aalst'],['990361'],
4038,2019-07-26 10:13:32,reorder item,0.166,799.0,['881467'],['iPhone 11'],['Junxiong Gao'],['990366'],
4039,2019-07-26 10:21:41,item out of stock,0.28,89.99,['881581'],['Fire Stick 4K'],['Luis Santos'],['990390'],
4040,2019-07-26 10:24:59,pick item,0.2,39.99,['881615'],['Fire Stick'],['Christine Dobbert'],['990397'],
4041,2019-07-26 10:29:40,pick item,0.28,449.0,['881554'],['iPad mini'],['Kefang Ding'],['990384'],
4042,2019-07-26 10:30:13,pick item,0.483,1099.0,['881602'],['iPad Pro'],['Luis Santos'],['990395'],
4043,2019-07-26 10:30:13,create package,0.38,29.99,['881428'],['Echo Dot'],['Mahsa Bafrani'],['990354'],['660228']
4044,2019-07-26 10:32:58,pick item,0.98,129.99,['881598'],['Echo Show 8'],['Gyunam Park'],['990393'],
4045,2019-07-26 10:32:58,create package,2.725,2468.98,"['881466', '881615', '881493', '881491']","['Kindle Paperwhite', 'MacBook Air', 'Fire Stick', 'Echo']",['Christine Dobbert'],"['990397', '990365', '990370']",['660229']
4046,2019-07-26 10:33:49,package delivered,7.854,4807.91,"['881487', '881542', '881480', '881450', '881543', '881327', '881384', '881483', '881415', '881110', '881548', '881489']","['iPhone X', 'MacBook Pro', 'Echo Plus', 'Fire Stick', 'Kindle', 'Echo Show 8', 'iPhone 11', 'Echo Dot', 'Echo']",['Mohammadreza Fani Sani'],"['990360', '990273', '990344', '990369', '990381', '990329', '990352', '990368']",['660226']
4047,2019-07-26 10:35:00,pick item,0.2,39.99,['881599'],['Fire Stick'],['Gyunam Park'],['990393'],
4048,2019-07-26 10:42:31,pick item,0.495,129.0,['881621'],['Kindle Paperwhite'],['Claudia Graf'],['990398'],
4049,2019-07-26 10:42:46,pick item,0.2,39.99,['881586'],['Fire Stick'],['Christine Dobbert'],['990391'],
4050,2019-07-26 10:48:39,pick item,0.172,699.0,['881538'],['iPhone X'],['Wil van der Aalst'],['990380'],
4051,2019-07-26 10:48:39,create package,0.48,488.99,"['881458', '881300']","['iPad mini', 'Fire Stick']",['Marco Pegoraro'],"['990321', '990363']",['660230']
4052,2019-07-26 10:50:14,pick item,0.172,699.0,['881576'],['iPhone X'],['Majid Rafiei'],['990388'],
4053,2019-07-26 10:54:22,confirm order,1.884,4602.0,"['881566', '881569', '881567', '881568']","['iPhone 11', 'iPhone 11 Pro', 'iPad mini', 'MacBook Air']",['Mahnaz Qafari'],['990387'],
4054,2019-07-26 11:10:13,pick item,0.78,99.99,['881610'],['Echo'],['Christine Dobbert'],['990397'],
4055,2019-07-26 11:10:13,create package,1.475,258.99,"['881070', '881621']","['Kindle Paperwhite', 'Echo Show 8']",['Claudia Graf'],"['990264', '990398']",['660231']
4056,2019-07-26 11:12:17,place order,1.929,2306.99,"['881624', '881627', '881625', '881626', '881623']","['iPhone 11 Pro', 'Kindle Paperwhite', 'iPad mini', 'Kindle', 'iPad']",['Kefang Ding'],['990399'],
4057,2019-07-26 11:13:28,pick item,0.88,89.99,['881451'],['Echo Show 5'],['Mohammadreza Fani Sani'],['990360'],
4058,2019-07-26 11:26:08,reorder item,0.28,89.99,['881498'],['Fire Stick 4K'],['Tobias Brockhoff'],['990371'],
4059,2019-07-26 11:31:26,confirm order,2.305,3732.99,"['881559', '881561', '881562', '881560']","['iPhone X', 'iPad mini', 'MacBook Pro', 'Kindle']",['Mahnaz Qafari'],['990385'],
4060,2019-07-26 11:35:00,pick item,0.2,39.99,['881578'],['Fire Stick'],['Christine Dobbert'],['990389'],
4061,2019-07-26 11:35:00,create package,1.652,888.98,"['881564', '881563', '881496']","['iPhone X', 'Echo Plus', 'Fire Stick']",['Tobias Brockhoff'],"['990386', '990371']",['660232']
4062,2019-07-26 11:36:46,pay order,5.537999999999999,5045.97,"['881145', '881148', '881141', '881143', '881147', '881146', '881144', '881149', '881142']","['Echo Show 5', 'Kindle Paperwhite', 'iPhone 8', 'Echo Studio', 'Fire Stick', 'MacBook Pro', 'iPad']",['Kefang Ding'],['990284'],
4063,2019-07-26 11:36:53,pay order,1.76,294.98,"['880818', '880817']","['Echo Studio', 'Fire Stick 4K']",['Mohammadreza Fani Sani'],['990202'],
4064,2019-07-26 11:43:44,confirm order,1.65,2954.0,"['881550', '881549']","['iPad mini', 'MacBook Pro']",['Junxiong Gao'],['990382'],
4065,2019-07-26 11:44:25,pick item,0.38,29.99,['881460'],['Echo Dot'],['Lisa Mannel'],['990364'],
4066,2019-07-26 11:53:35,pick item,0.28,449.0,['881477'],['iPad mini'],['Lisa Mannel'],['990367'],
4067,2019-07-26 12:02:50,pick item,0.21,529.0,['881617'],['iPhone 8'],['Claudia Graf'],['990398'],
4068,2019-07-26 12:02:50,create package,6.033,4227.96,"['881579', '881269', '881551', '881582', '881602', '881580', '881604']","['Echo Show 5', 'MacBook Air', 'Echo Studio', 'iPad mini', 'iPad Pro', 'Echo']",['Luis Santos'],"['990315', '990383', '990390', '990395']",['660233']
4069,2019-07-26 12:03:37,pick item,0.21,529.0,['881537'],['iPhone 8'],['Wil van der Aalst'],['990380'],
4070,2019-07-26 12:08:38,pick item,0.188,1149.0,['881585'],['iPhone 11 Pro'],['Christine Dobbert'],['990391'],
4071,2019-07-26 12:24:33,pick item,0.88,89.99,['881241'],['Echo Show 5'],['Mahsa Bafrani'],['990307'],
4072,2019-07-26 12:26:44,pick item,0.28,449.0,['881619'],['iPad mini'],['Claudia Graf'],['990398'],
4073,2019-07-26 12:39:59,item out of stock,1.37,2500.0,['881603'],['MacBook Pro'],['Luis Santos'],['990395'],
4074,2019-07-26 12:44:22,place order,1.755,253.98,"['881630', '881629', '881628']","['Echo Show 5', 'Echo Dot', 'Kindle Paperwhite']",['Christina Rensinghof'],['990400'],
4075,2019-07-26 12:57:42,confirm order,4.1930000000000005,3283.97,"['881555', '881554', '881557', '881556', '881558']","['Kindle', 'iPad mini', 'Echo Plus', 'MacBook Pro', 'Echo']",['Kefang Ding'],['990384'],
4076,2019-07-26 13:09:43,pick item,0.483,1099.0,['881614'],['iPad Pro'],['Christine Dobbert'],['990397'],
4077,2019-07-26 13:48:54,pick item,0.172,699.0,['881507'],['iPhone X'],['Seran Uysal'],['990373'],
4078,2019-07-26 14:15:30,pick item,0.2,39.99,['881494'],['Fire Stick'],['Christine Dobbert'],['990370'],
4079,2019-07-26 14:15:30,create package,3.666,4503.99,"['881469', '881549', '881470', '881471', '881021']","['iPad Air', 'iPhone 11', 'iPhone 8', 'Echo Studio', 'MacBook Pro']",['Junxiong Gao'],"['990382', '990366', '990252']",['660234']
4080,2019-07-26 14:22:49,reorder item,0.188,1149.0,['881592'],['iPhone 11 Pro'],['Seran Uysal'],['990392'],
4081,2019-07-26 14:25:22,pick item,0.188,1149.0,['881623'],['iPhone 11 Pro'],['Kefang Ding'],['990399'],
4082,2019-07-26 14:35:40,send package,1.475,258.99,"['881070', '881621']","['Kindle Paperwhite', 'Echo Show 8']",['Claudia Graf'],"['990264', '990398']",['660231']
4083,2019-07-26 14:40:43,item out of stock,0.28,89.99,['881583'],['Fire Stick 4K'],['Christine Dobbert'],['990391'],
4084,2019-07-26 14:45:22,pick item,0.98,129.99,['881461'],['Echo Show 8'],['Lisa Mannel'],['990364'],
4085,2019-07-26 14:48:31,place order,4.399,4933.98,"['881632', '881637', '881636', '881634', '881631', '881633', '881635']","['iPad Air', 'iPad mini', 'iPad Pro', 'MacBook Air', 'Kindle', 'Echo Show 8', 'iPad']",['Anahita Farhang Ghahfarokhi'],['990401'],
4086,2019-07-26 14:52:55,pick item,0.78,99.99,['881376'],['Echo'],['Christina Rensinghof'],['990341'],
4087,2019-07-26 14:54:51,confirm order,2.431,2175.98,"['881617', '881621', '881616', '881619', '881618', '881622', '881620']","['Kindle Paperwhite', 'iPhone 8', 'iPad mini', 'Fire Stick', 'Kindle', 'iPad']",['Claudia Graf'],['990398'],
4088,2019-07-26 15:09:20,pick item,0.483,79.99,['881620'],['Kindle'],['Claudia Graf'],['990398'],
4089,2019-07-26 15:20:20,confirm order,1.123,1015.99,"['881606', '881607', '881605']","['iPad Air', 'Fire Stick', 'iPad']",['Tobias Brockhoff'],['990396'],
4090,2019-07-26 15:27:15,send package,4.755,4041.96,"['881535', '881075', '881514', '881516', '881511', '881536', '881446', '881515', '881445']","['iPad Air', 'Echo Plus', 'Fire Stick 4K', 'iPhone 11', 'Echo Dot', 'iPad mini', 'iPad Pro']",['Gyunam Park'],"['990374', '990359', '990379', '990267']",['660227']
4091,2019-07-26 15:40:22,item out of stock,0.88,89.99,['881628'],['Echo Show 5'],['Christina Rensinghof'],['990400'],
4092,2019-07-26 15:48:35,pick item,0.28,449.0,['881618'],['iPad mini'],['Claudia Graf'],['990398'],
4093,2019-07-26 15:48:35,create package,2.2,705.98,"['881376', '881400', '881502']","['iPad Air', 'Echo Show 8', 'Echo']",['Christina Rensinghof'],"['990341', '990348', '990372']",['660235']
4094,2019-07-26 15:48:58,package delivered,1.475,258.99,"['881070', '881621']","['Kindle Paperwhite', 'Echo Show 8']",['Claudia Graf'],"['990264', '990398']",['660231']
4095,2019-07-26 16:06:13,pick item,0.166,799.0,['881522'],['iPhone 11'],['Kefang Ding'],['990375'],
4096,2019-07-26 16:19:30,pick item,0.172,699.0,['881315'],['iPhone X'],['Mahsa Bafrani'],['990327'],
4097,2019-07-26 16:25:07,pick item,0.38,29.99,['881629'],['Echo Dot'],['Christina Rensinghof'],['990400'],
4098,2019-07-26 16:25:07,create package,3.931,7255.99,"['881559', '881561', '881567', '881569', '881562', '881370', '881560']","['iPhone X', 'MacBook Pro', 'iPhone 8', 'Kindle', 'MacBook Air', 'iPhone 11', 'iPad mini']",['Mahnaz Qafari'],"['990385', '990387', '990340']",['660236']
4099,2019-07-26 16:38:28,send package,0.38,29.99,['881428'],['Echo Dot'],['Mahsa Bafrani'],['990354'],['660228']
4100,2019-07-26 16:47:18,pick item,1.48,199.99,['881571'],['Echo Studio'],['Majid Rafiei'],['990388'],
4101,2019-07-26 16:56:50,place order,2.889,4032.97,"['881638', '881643', '881642', '881641', '881639', '881640']","['iPhone 11', 'Echo Dot', 'iPhone 8', 'Kindle', 'MacBook Pro', 'Fire Stick 4K']",['Marco Pegoraro'],['990402'],
4102,2019-07-26 16:57:43,pick item,0.2,39.99,['881430'],['Fire Stick'],['Junxiong Gao'],['990355'],
4103,2019-07-26 16:58:46,pick item,0.483,495.0,['881626'],['iPad'],['Kefang Ding'],['990399'],
4104,2019-07-26 17:28:45,pick item,0.98,129.99,['881588'],['Echo Show 8'],['Christine Dobbert'],['990391'],
4105,2019-07-26 17:31:14,item out of stock,0.2,39.99,['881622'],['Fire Stick'],['Claudia Graf'],['990398'],
4106,2019-07-26 17:35:48,confirm order,1.755,253.98,"['881630', '881629', '881628']","['Echo Show 5', 'Echo Dot', 'Kindle Paperwhite']",['Christina Rensinghof'],['990400'],
4107,2019-07-26 17:40:52,send package,0.48,488.99,"['881458', '881300']","['iPad mini', 'Fire Stick']",['Marco Pegoraro'],"['990321', '990363']",['660230']
4108,2019-07-26 17:40:57,pay order,1.929,1448.99,"['881031', '881030', '881032']","['iPhone 11', 'iPad', 'Echo Plus']",['Seran Uysal'],['990256'],
4109,2019-07-26 17:43:24,send package,3.81,2499.98,"['881115', '881525', '881570']","['Echo Plus', 'MacBook Air']",['Majid Rafiei'],"['990376', '990275', '990388']",['660224']
4110,2019-07-26 17:47:26,send package,4.257,2437.95,"['881555', '881518', '881557', '881517', '881556', '881521', '881519']","['iPhone 11', 'iPhone 11 Pro', 'Kindle', 'Echo Dot', 'Echo Plus', 'Echo Show 8', 'Echo']",['Kefang Ding'],"['990384', '990375']",['660225']
4111,2019-07-26 18:02:30,item out of stock,0.28,89.99,['881638'],['Fire Stick 4K'],['Marco Pegoraro'],['990402'],
4112,2019-07-26 18:15:56,pay order,2.151,1848.99,"['880915', '880913', '880914']","['iPhone 11 Pro', 'iPad', 'Echo Studio']",['Junxiong Gao'],['990226'],
4113,2019-07-26 18:17:52,package delivered,0.38,29.99,['881428'],['Echo Dot'],['Mahsa Bafrani'],['990354'],['660228']
4114,2019-07-26 18:24:16,confirm order,2.889,4032.97,"['881638', '881643', '881642', '881641', '881639', '881640']","['iPhone 11', 'Echo Dot', 'iPhone 8', 'Kindle', 'MacBook Pro', 'Fire Stick 4K']",['Marco Pegoraro'],['990402'],
4115,2019-07-26 19:13:27,place order,4.079,4652.98,"['881646', '881647', '881648', '881644', '881645']","['iPhone 11', 'Echo Plus', 'iPad Pro', 'MacBook Pro', 'Echo']",['Kefang Ding'],['990403'],
4116,2019-07-26 19:14:36,package delivered,3.81,2499.98,"['881115', '881525', '881570']","['Echo Plus', 'MacBook Air']",['Majid Rafiei'],"['990376', '990275', '990388']",['660224']
4117,2019-07-26 19:31:31,pick item,0.2,39.99,['881434'],['Fire Stick'],['Tobias Brockhoff'],['990356'],
4118,2019-07-26 20:53:21,send package,2.725,2468.98,"['881466', '881615', '881493', '881491']","['Kindle Paperwhite', 'MacBook Air', 'Fire Stick', 'Echo']",['Christine Dobbert'],"['990397', '990365', '990370']",['660229']
4119,2019-07-26 21:46:37,pick item,0.495,129.0,['881407'],['Kindle Paperwhite'],['Anahita Farhang Ghahfarokhi'],['990350'],
4120,2019-07-26 22:06:29,place order,1.32,570.99,"['881650', '881649']","['iPad Air', 'Echo Show 5']",['Mahsa Bafrani'],['990404'],
4121,2019-07-27 15:38:48,place order,3.273,3312.98,"['881655', '881653', '881652', '881651', '881654']","['iPad mini', 'Echo Show 8', 'Kindle', 'MacBook Air']",['Mohammadreza Fani Sani'],['990405'],
4122,2019-07-28 08:53:04,payment reminder,0.7559999999999999,2332.99,"['881094', '881095', '881093']","['iPhone 11 Pro', 'Echo Dot']",['Luis Santos'],['990270'],
4123,2019-07-28 16:11:30,place order,3.908,4331.99,"['881656', '881659', '881660', '881657', '881658']","['Kindle Paperwhite', 'iPad mini', 'iPad Pro', 'Echo Plus', 'MacBook Pro']",['Christina Rensinghof'],['990406'],
4124,2019-07-29 01:00:00,create package,1.978,2106.98,"['881478', '881460', '881477', '881473', '881461']","['iPhone X', 'iPhone 11', 'Echo Dot', 'iPad mini', 'Echo Show 8']",['Lisa Mannel'],"['990364', '990367']",['660237']
4125,2019-07-29 08:16:11,place order,1.492,1732.98,"['881661', '881663', '881662', '881664']","['iPhone 11', 'Echo Dot', 'Echo']",['Christine Dobbert'],['990407'],
4126,2019-07-29 08:17:04,pick item,1.37,2500.0,['881645'],['MacBook Pro'],['Kefang Ding'],['990403'],
4127,2019-07-29 08:30:02,reorder item,0.78,99.99,['881404'],['Echo'],['Luis Santos'],['990349'],
4128,2019-07-29 09:02:43,send package,2.2,705.98,"['881376', '881400', '881502']","['iPad Air', 'Echo Show 8', 'Echo']",['Christina Rensinghof'],"['990341', '990348', '990372']",['660235']
4129,2019-07-29 09:29:01,item out of stock,1.25,2200.0,['881636'],['MacBook Air'],['Anahita Farhang Ghahfarokhi'],['990401'],
4130,2019-07-29 09:30:07,item out of stock,0.483,495.0,['881635'],['iPad'],['Anahita Farhang Ghahfarokhi'],['990401'],
4131,2019-07-29 09:41:00,item out of stock,0.2,39.99,['881531'],['Fire Stick'],['Wil van der Aalst'],['990378'],
4132,2019-07-29 09:46:22,reorder item,0.28,89.99,['881638'],['Fire Stick 4K'],['Marco Pegoraro'],['990402'],
4133,2019-07-29 09:48:14,payment reminder,5.915,5803.96,"['880721', '880720', '880722', '880723', '880719', '880717', '880718']","['Echo Show 5', 'iPhone X', 'Echo', 'MacBook Air', 'Kindle', 'Echo Show 8', 'MacBook Pro']",['Mahnaz Qafari'],['990177'],
4134,2019-07-29 09:49:57,pick item,0.483,79.99,['881637'],['Kindle'],['Anahita Farhang Ghahfarokhi'],['990401'],
4135,2019-07-29 10:08:16,send package,6.033,4227.96,"['881579', '881269', '881551', '881582', '881602', '881580', '881604']","['Echo Show 5', 'MacBook Air', 'Echo Studio', 'iPad mini', 'iPad Pro', 'Echo']",['Luis Santos'],"['990315', '990383', '990390', '990395']",['660233']
4136,2019-07-29 10:12:14,pay order,0.98,144.98,"['881578', '881577']","['Fire Stick', 'Echo']",['Christine Dobbert'],['990389'],
4137,2019-07-29 10:14:04,place order,2.604,4542.99,"['881667', '881668', '881666', '881665']","['iPhone 11', 'Echo Show 5', 'iPhone 11 Pro', 'MacBook Pro']",['Kefang Ding'],['990408'],
4138,2019-07-29 10:23:48,reorder item,0.21,529.0,['881368'],['iPhone 8'],['Gyunam Park'],['990339'],
4139,2019-07-29 10:28:26,confirm order,4.079,4652.98,"['881646', '881647', '881648', '881644', '881645']","['iPhone 11', 'Echo Plus', 'iPad Pro', 'MacBook Pro', 'Echo']",['Kefang Ding'],['990403'],
4140,2019-07-29 10:31:05,pick item,0.38,29.99,['881532'],['Echo Dot'],['Wil van der Aalst'],['990378'],
4141,2019-07-29 10:31:46,send package,3.666,4503.99,"['881469', '881549', '881470', '881471', '881021']","['iPad Air', 'iPhone 11', 'iPhone 8', 'Echo Studio', 'MacBook Pro']",['Junxiong Gao'],"['990382', '990366', '990252']",['660234']
4142,2019-07-29 10:33:08,pay order,3.873,3749.97,"['881608', '881609', '881615', '881610', '881614', '881612', '881611', '881613']","['iPhone X', 'Kindle Paperwhite', 'iPad mini', 'iPad Pro', 'Fire Stick', 'Echo Show 8', 'Echo']",['Christine Dobbert'],['990397'],
4143,2019-07-29 10:39:12,package delivered,5.223,7276.98,"['881334', '881406', '881275', '881336', '881333', '881526', '881405']","['iPhone X', 'MacBook Pro', 'iPhone 11 Pro', 'Kindle', 'MacBook Air', 'Echo Studio', 'iPad mini']",['Anahita Farhang Ghahfarokhi'],"['990317', '990331', '990377', '990350']",['660221']
4144,2019-07-29 10:43:29,confirm order,1.929,2306.99,"['881624', '881627', '881625', '881626', '881623']","['iPhone 11 Pro', 'Kindle Paperwhite', 'iPad mini', 'Kindle', 'iPad']",['Kefang Ding'],['990399'],
4145,2019-07-29 10:47:01,confirm order,4.399,4933.98,"['881632', '881637', '881636', '881634', '881631', '881633', '881635']","['iPad Air', 'iPad mini', 'iPad Pro', 'MacBook Air', 'Kindle', 'Echo Show 8', 'iPad']",['Anahita Farhang Ghahfarokhi'],['990401'],
4146,2019-07-29 11:02:24,failed delivery,2.2,705.98,"['881376', '881400', '881502']","['iPad Air', 'Echo Show 8', 'Echo']",['Christina Rensinghof'],"['990341', '990348', '990372']",['660235']
4147,2019-07-29 11:09:16,pick item,0.188,1149.0,['881497'],['iPhone 11 Pro'],['Tobias Brockhoff'],['990371'],
4148,2019-07-29 11:11:26,pick item,0.28,89.99,['881546'],['Fire Stick 4K'],['Mohammadreza Fani Sani'],['990381'],
4149,2019-07-29 11:19:01,reorder item,0.88,89.99,['881484'],['Echo Show 5'],['Mohammadreza Fani Sani'],['990368'],
4150,2019-07-29 11:22:43,reorder item,1.28,149.99,['881573'],['Echo Plus'],['Majid Rafiei'],['990388'],
4151,2019-07-29 11:23:20,send package,3.931,7255.99,"['881559', '881561', '881567', '881569', '881562', '881370', '881560']","['iPhone X', 'MacBook Pro', 'iPhone 8', 'Kindle', 'MacBook Air', 'iPhone 11', 'iPad mini']",['Mahnaz Qafari'],"['990385', '990387', '990340']",['660236']
4152,2019-07-29 11:29:35,item out of stock,0.28,449.0,['881568'],['iPad mini'],['Mahnaz Qafari'],['990387'],
4153,2019-07-29 11:38:00,pick item,0.28,449.0,['881513'],['iPad mini'],['Gyunam Park'],['990374'],
4154,2019-07-29 11:38:00,create package,4.452,4586.96,"['881541', '881452', '881426', '881538', '881540', '881530', '881537', '881532']","['iPhone X', 'MacBook Pro', 'iPhone 8', 'Fire Stick 4K', 'Echo Dot', 'Echo Studio', 'iPad mini']",['Wil van der Aalst'],"['990353', '990380', '990378', '990361']",['660238']
4155,2019-07-29 11:43:49,item out of stock,0.483,79.99,['881654'],['Kindle'],['Mohammadreza Fani Sani'],['990405'],
4156,2019-07-29 11:47:55,place order,1.56,244.98,"['881669', '881670']","['Echo Plus', 'Fire Stick 4K']",['Gyunam Park'],['990409'],
4157,2019-07-29 11:51:15,pay order,1.48,194.98,"['881525', '881524']","['Echo Plus', 'Fire Stick']",['Majid Rafiei'],['990376'],
4158,2019-07-29 11:52:41,package delivered,2.109,2812.98,"['881357', '881510', '881506', '881509', '881255']","['Echo Dot', 'iPad Pro', 'iPad', 'Fire Stick 4K']",['Seran Uysal'],"['990373', '990336', '990312']",['660223']
4159,2019-07-29 11:57:23,package delivered,2.725,2468.98,"['881466', '881615', '881493', '881491']","['Kindle Paperwhite', 'MacBook Air', 'Fire Stick', 'Echo']",['Christine Dobbert'],"['990397', '990365', '990370']",['660229']
4160,2019-07-29 12:09:12,pick item,1.28,149.99,['881656'],['Echo Plus'],['Christina Rensinghof'],['990406'],
4161,2019-07-29 12:35:12,pick item,0.98,129.99,['881553'],['Echo Show 8'],['Luis Santos'],['990383'],
4162,2019-07-29 12:38:51,pay order,4.1930000000000005,3283.97,"['881555', '881554', '881557', '881556', '881558']","['Kindle', 'iPad mini', 'Echo Plus', 'MacBook Pro', 'Echo']",['Kefang Ding'],['990384'],
4163,2019-07-29 13:15:57,pick item,0.166,799.0,['881527'],['iPhone 11'],['Anahita Farhang Ghahfarokhi'],['990377'],
4164,2019-07-29 13:36:41,pick item,0.38,29.99,['881640'],['Echo Dot'],['Marco Pegoraro'],['990402'],
